addr1,addr2,areacode,benikia,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,tel,title,booktour,sigungucode
전북특별자치도 전주시 완산구 한지길 100-20,,37,,B02,B0201,B02011600,2593272,32,2.02E+11,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,Type3,127.1535196,35.8155698,6,2.02E+13,010-6345-5267,가은채2 [한국관광 품질인증/Korea Quality],,12
강원특별자치도 평창군 봉평면 흥정계곡길 72,,32,,B02,B0201,B02010700,2376711,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,Type3,128.3519002,37.62729758,6,2.02E+13,010-5213-3200,가을동화펜션,,15
강원특별자치도 평창군 봉평면 흥정계곡4길 212-27,,32,,B02,B0201,B02010700,2708335,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image3_1.jpg,Type3,128.3109751,37.66094291,,2.02E+13,033-336-3357,가재와곰펜션 [한국관광 품질인증/Korea Quality],,15
경상남도 남해군 삼동면 죽방로 495,,36,,B02,B0201,B02010700,1351349,32,2.01E+13,,,,127.9675765,34.81693005,6,2.02E+13,055-867-4892,가족사랑바다체험펜션,,5
경기도 가평군 북면 가화로 2369-19,,31,,B02,B0201,B02010900,1979670,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,Type3,127.4766117,37.95248785,6,2.02E+13,031-581-2256~7,가평 하이랜드,,1
경기도 가평군 가화로 1364-59,,31,,B02,B0201,B02010700,2814152,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,Type3,127.5134792,37.90231382,6,2.02E+13,,가평미라몬티풀빌라펜션[한국관광 품질인증/Korea Quality],,1
경상남도 고성군 고성읍 이당5길 149-21,,36,,B02,B0201,B02010700,2579457,32,2.02E+13,,,,128.2677823,34.97580922,6,2.02E+13,010-2779-2212,갈모봉 힐링스테이,,3
강원특별자치도 영월군 영월읍 선돌길 83-9,,32,,B02,B0201,B02010700,1122064,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image3_1.jpg,Type3,128.4347978,37.17885369,6,2.02E+13,033-373-1139,강가에 하얀집 펜션,,8
강원특별자치도 홍천군 북방면 굴지강변로 281,,32,,B02,B0201,B02010700,940259,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image3_1.jpg,Type3,127.7832359,37.69159332,6,2.02E+13,033-433-8309,강가의성,,16
강원특별자치도 정선군 북평면 졸드루길 31-57,,32,,B02,B0201,B02010700,2398168,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image3_1.jpg,Type3,128.6366687,37.45189273,6,2.02E+13,010-3757-1147,강과 소나무[한국관광 품질인증/Korea Quality],,11
경상남도 통영시 동충4길 56,,36,,B02,B0201,B02011100,2575011,32,2.02E+13,,,,128.424161,34.84187978,6,2.02E+13,010-9287-8001,강구안게스트하우스,,17
서울특별시 강남구 테헤란로13길 65,"(역삼동)1, 2층",1,,B02,B0201,B02011100,2574118,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,Type3,127.0301237,37.50342917,,2.02E+13,010-2746-7882,강남스테이힐(Gangnam Stay Hill),,1
서울특별시 서초구 서초대로74길 49,(서초동)강남아르누보씨티호텔,,,B02,B0201,B02010100,2650614,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg,Type3,127.0282158,37.49348585,,2.02E+13,02-580-7300/7400,강남아르누보씨티호텔,,
서울특별시 강남구 봉은사로 143 (논현동),,1,,B02,B0201,B02010100,3079947,32,2.02E+13,,,,127.0302069,37.50652881,6,2.02E+13,,강남패밀리호텔,,1
전북특별자치도 전주시 완산구 태조로 26-24,(풍남동3가),37,,B02,B0201,B02011600,2570638,32,2.02E+11,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG,Type3,127.1519253,35.81500872,,2.02E+13,,강령전,,12
강릉시 해안로621번길 12 (안현동),,32,,B02,B0201,B02010700,2913612,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image3_1.jpg,Type3,128.8980175,37.81189785,6,2.02E+13,,강릉 로뎀나무 펜션,,1
강원특별자치도 강릉시 교동광장로100번길 19,,32,,B02,B0201,B02010100,2903046,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/10/2950310_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2950310_image3_1.jpg,Type1,128.8762487,37.76664433,6,2.02E+13,033-645-5511,강릉 부띠끄호텔 봄봄[한국관광 품질인증/Korea Quality],,1
강원특별자치도 강릉시 사천면 해안로 904-22,,32,,B02,B0201,B02011000,2626916,32,2.02E+13,,,,128.8758522,37.83305886,,2.02E+13,010-3348-4912,강릉 지중해펜션,,1
강원특별자치도 강릉시 용지각길 19,(포남동),32,,B02,B0201,B02010900,2398102,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image3_1.jpg,Type1,128.905624,37.76156772,6,2.02E+13,010-5919-0050,강릉ing게스트하우스[한국관광 품질인증/Korea Quality],,1
강원특별자치도 강릉시 경강로2103번길 17,(임당동),32,,B02,B0201,B02011100,2038173,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image3_1.jpg,Type3,128.8954528,37.75640423,6,2.02E+13,010-9299-7199,강릉게스트하우스 중앙점[한국관광 품질인증/Korea Quality],,1
강원특별자치도 강릉시 운정길 63 선교장,,32,,B02,B0201,B02011600,1989501,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image3_1.jpg,Type3,128.8848529,37.78557564,6,2.02E+13,033-648-5311,강릉선교장[한국관광 품질인증/Korea Quality],,1
강원특별자치도 강릉시 주문진읍 동해대로 4940,(주문진읍),32,,A03,A0302,A03020200,587289,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/94/598094_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/598094_image3_1.jpg,Type3,128.8123943,37.91492869,6,2.02E+13,033-662-0911,강릉시 청소년 해양수련원,,1
강원특별자치도 강릉시 죽헌길 114,"(죽헌동) 114,116",32,,B02,B0201,B02011600,2531222,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/56/3067856_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3067856_image3_1.jpg,Type1,128.879548,37.77750425,6,2.02E+13,033-655-1117,강릉오죽한옥마을[한국관광 품질인증/Korea Quality],,1
강원특별자치도 인제군 인제읍 내린천로 5384,,32,,B02,B0201,B02010700,138547,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image3_1.jpg,Type3,128.2720847,38.01000722,6,2.02E+13,033-462-0629,강변에서 황토콘도,,10
강원특별자치도 홍천군 북방면 노일로310번길 15,,32,,B02,B0201,B02010700,678537,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/73/680173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/680173_image3_1.jpg,Type3,127.7311991,37.68610966,6,2.02E+13,010-2679-3536,강변의수채화 펜션,,16
강원특별자치도 평창군 봉평면 흥정계곡1길 23,(흥정리),32,,B02,B0201,B02010700,2760767,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG,Type3,128.3483698,37.63447169,6,2.02E+13,,강애산애펜션,,15
경상북도 문경시 마성면 구랑로 333,,35,,B02,B0201,B02010700,2568981,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg,Type3,128.1204936,36.66289872,,2.02E+13,010-5287-3375,강이 있는 풍경 (강이 있는 풍경 펜션),,7
강원특별자치도 정선군 정선읍 군언길 129,,32,,B02,B0201,B02010700,137913,32,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/04/1825804_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/1825804_image3_1.jpg,Type3,128.6109402,37.36975171,6,2.02E+13,033-563-7979,강이흐르는마을 펜션,,11
전북특별자치도 순창군 팔덕면 강천산길 85,,37,,B02,B0201,B02010900,136962,32,2.00E+13,,,,127.0688154,35.40864785,6,2.02E+13,063-652-9930,강천각모텔,,7
강원특별자치도 춘천시 남산면 강촌로 80-1,,32,,B02,B0201,B02010700,139190,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/81/2045681_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/81/2045681_image2_1.JPG,Type3,127.6345597,37.8118377,6,2.02E+13,033-261-0051,강촌 느티나무마을펜션,,13
강원특별자치도 춘천시 남산면 강촌로 143,,32,,B02,B0201,B02010700,1802452,32,2.01E+13,,,,127.6372819,37.8067689,6,2.02E+13,010-9272-5679,강촌w펜션,,13
강원특별자치도 춘천시 남산면 강촌로 250,,32,,B02,B0201,B02010700,2913427,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/06/2920006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2920006_image3_1.jpg,Type3,127.6393292,37.79769221,6,2.02E+13,,강촌잠빌펜션,,13
전라남도 보성군 가내길 31-1,,38,,B02,B0201,B02011600,2814166,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/11/3008911_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3008911_image3_1.jpg,Type1,127.2043734,34.94922424,6,2.02E+13,010-9220-5904,강현재[한국관광 품질인증/Korea Quality],,10
인천광역시 강화군 내가면 해안서로 972,,2,,B02,B0201,B02010600,136605,32,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image3_1.jpg,Type3,126.3745585,37.70453858,6,2.02E+13,032-933-8891,강화유스호스텔,,1
인천광역시 강화군 송해면 상도숭뢰길 183,,2,,B02,B0201,B02010900,2521964,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG,Type3,126.4771468,37.78669191,6,2.02E+13,"032-930-7058, 7062",강화평화빌리지,,1
경상남도 김해시 대동면 대동로 536-15,,36,,B02,B0201,B02010700,2604455,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/72/2604472_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2604472_image2_1.jpg,Type3,128.9738302,35.24303372,6,2.02E+13,055-339-7486,개리비안비치펜션,,4
강원특별자치도 평창군 봉평면 흥정계곡3길 70,(흥정리),32,,B02,B0201,B02010700,2761333,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/60/2764860_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2764860_image2_1.jpg,Type3,128.3292516,37.64773645,6,2.02E+13,,개여울,,15
경기도 양평군 서종면 황순원로 103,,31,,B02,B0201,B02010700,913186,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/83/1942383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942383_image3_1.jpg,Type3,127.3780504,37.59717181,6,2.02E+13,031-774-4226,개울가펜션,,19
전라남도 해남군 옥천면 도림길 81,,38,,B02,B0201,B02011600,2574326,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/38/2573738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2573738_image2_1.jpg,Type3,126.6616457,34.51597215,,2.02E+13,010-9626-5848,개울한옥민박,,23
경상남도 창원시 진해구 충장로445번길 5,(이동),36,,B02,B0201,B02011100,2569612,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/28/2567828_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/28/2567828_image2_1.JPG,Type3,128.6987178,35.14953083,,2.02E+13,010-3178-7901,갤러리 마중(GALLERY MAJUNG),,16
강원특별자치도 인제군 기린면 설피밭길 661,,32,,B02,B0201,B02010700,139867,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/43/2944043_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/2944043_image3_1.JPG,Type3,128.4726879,38.03756898,6,2.02E+13,033-463-1209,갤러리&펜션 풍경소리,,10
강원특별자치도 화천군 화천읍 중앙로2길 31-10,,32,,B02,B0201,B02010900,628541,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/78/1853078_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1853078_image3_1.jpg,Type3,127.7045447,38.10347726,6,2.02E+13,033-441-7999,갤러리하우스모텔,,17
강원특별자치도 정선군 사북읍 소금강로 3489,,32,,B02,B0201,B02010900,139224,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/20/207320_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/207320_image3_1.jpg,Type3,128.8420903,37.22948063,6,2.02E+13,033-592-9923,갤럭시 모텔,,11
경상북도 포항시 북구 해안로 93,,35,,B02,B0201,B02010100,2004586,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/53/2004653_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2004653_image2_1.jpg,Type3,129.3778358,36.05721071,6,2.02E+13,054-251-9988,갤럭시관광호텔,,23
서울특별시 영등포구 버드나루로 90 (당산동),,1,,B02,B0201,B02010100,3080181,32,2.02E+13,,,,126.9091229,37.52637989,6,2.02E+13,,갤럭시호텔,,20
경상남도 통영시 산양읍 논아랫개길 134-51,,36,,B02,B0201,B02010700,2575042,32,2.02E+13,,,,128.4326896,34.78205051,,2.02E+13,,갯내음 펜션,,17
경상남도 통영시 용남면 견유1길 175,,36,,B02,B0201,B02010700,590873,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/57/1899757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/1899757_image3_1.jpg,Type3,128.4742332,34.88957534,6,2.02E+13,010-4850-5230,갯바위펜션,,17
충청남도 태안군 남면 진산1길 195-14,,34,,B02,B0201,B02010700,945148,32,2.01E+13,,,,126.2729252,36.70864401,6,2.02E+13,041-675-1262,갯벌부흥펜션,,14
전라남도 해남군 민박촌길 63 거목민박,,38,,B02,B0201,B02011600,2593235,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/63/3021963_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3021963_image3_1.jpg,Type1,126.6067507,34.50844709,6,2.02E+13,061-535-1456,거목장민박 [한국관광 품질인증/Korea Quality],,23
경상남도 거제시 남부면 거제대로 283,,36,,B02,B0201,B02010600,397642,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/48/1981448_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/1981448_image3_1.jpg,Type3,128.6384674,34.73817298,6,2.02E+13,055-632-7977,거제 썬트리팜리조트,,1
경상남도 거제시 거제중앙로 1898-5,,36,,B02,B0201,B02010100,142984,32,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/39/1981439_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1981439_image3_1.jpg,Type3,128.6239841,34.88804765,6,2.02E+13,055-632-7002,거제관광호텔,,1
경상남도 거제시 장목면 거제북로 2738-1,,36,,B02,B0201,B02010700,1855463,32,2.01E+13,,,,128.6931335,34.99746166,6,2.02E+13,055-634-4900,거제더비치펜션,,1
경상남도 거제시 일운면 북병산로 460,,36,,B02,B0201,B02010700,138703,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/64/1981364_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1981364_image3_1.jpg,Type3,128.6739455,34.81799804,6,2.02E+13,010-6420-6628,거제도 펜션팔색조,,1
경상남도 거제시 일운면 거제대로 1988-10,,36,,B02,B0201,B02010700,139689,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/73/2436173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2436173_image2_1.jpg,Type3,128.6835032,34.81152394,6,2.02E+13,010-9239-6343,거제도섬마을펜션,,1
경상남도 거제시 거제면 두동로 259-80,,36,,B02,B0201,B02010500,2578477,32,2.02E+13,,,,128.5906455,34.88108394,6,2.02E+13,055-639-2222,거제뷰골프텔,,1
경상남도 거제시 장평3로 80-37,,36,,B02,B0201,B02010100,143125,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/78/1609978_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1609978_image3_1.jpg,Type3,128.612346,34.89619375,6,2.02E+13,055-631-2114,거제삼성호텔,,1
경상남도 거제시 옥포로2길 13,,36,,B02,B0201,B02010100,2578490,32,2.02E+13,,,,128.6961694,34.89076809,6,2.02E+13,055-730-9600,거제오션호텔,,1
서울특별시 마포구 동교로47길 3,(연남동) 201호,1,,B02,B0201,B02011100,2572777,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG,Type3,126.9248538,37.563212,,2.02E+13,010-5155-9995,게더링 앳 홍대1(게더링앳홍대),,13
서울특별시 마포구 동교로47길 3,(연남동) 301호,1,,B02,B0201,B02011100,2572779,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG,Type3,126.9248538,37.563212,,2.02E+13,010-5155-9995,게더링 앳 홍대2(게더링앳홍대),,13
광주광역시 동구 구성로194번길 19,(대인동),5,,B02,B0201,B02011100,2664520,32,2.02E+13,,,,126.9157105,35.15199093,6,2.02E+13,0504-4016-3534,게스트145,,3
경상북도 안동시 금곡길 21-8,(금곡동),35,,B02,B0201,B02011100,2569003,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/72/2566872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2566872_image2_1.jpg,Type3,128.7215095,36.56727363,,2.02E+13,010-3538-0785,게스트하우스 play at home(플레이앳홈),,11
서울특별시 마포구 독막로7길 19,(서교동),1,,B02,B0201,B02011100,2574220,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/07/2573607_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/07/2573607_image2_1.JPG,Type3,126.918777,37.54893022,,2.02E+13,010-5417-1977,게스트하우스 류가(Guest House Ryuga),,13
경상남도 창원시 마산합포구 동서북14길 24,4층 (동성동),36,,B02,B0201,B02011100,2600730,32,2.02E+13,,,,128.5735799,35.20914965,,2.02E+13,070-8822-2081,게스트하우스 리좀,,16
전북특별자치도 군산시 월명로 516-1,(신흥동),37,,B02,B0201,B02011100,2569871,32,2.02E+11,,,,126.7047941,35.98583989,,2.02E+13,,게스트하우스 소설여행,,2
전북특별자치도 군산시 구영2길 25,,37,,B02,B0201,B02011100,2594149,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/12/2652012_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2652012_image2_1.jpg,Type3,126.7089659,35.98902848,6,2.02E+13,010-8098-2202,게스트하우스 여정 [한국관광 품질인증/Korea Quality],,2
경상남도 통영시 항남1길 18,(항남동),36,,B02,B0201,B02011100,2575102,32,2.02E+13,,,,128.4232944,34.84201864,6,2.02E+13,010-4842-0077,게스트하우스 위드,,17
서울특별시 강남구 압구정로34길 33,"(신사동,현대맨션) 22-2-2",1,,B02,B0201,B02011100,2607620,32,2.02E+13,,,,127.0309007,37.52611544,,2.02E+13,010-8282-3580,게스트하우스강남,,1
전북특별자치도 군산시 구영2길 25,(영화동),37,,B02,B0201,B02011100,2575689,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/43/2575343_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2575343_image2_1.jpg,Type3,126.7088936,35.98896738,,2.02E+13,"010-3673-8019, 010-7361-2202",게스트하우스여정,,2
충청남도 홍성군 결성면 홍남서로707번길 21-8,,34,,B02,B0201,B02011600,2570229,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/74/2568074_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/74/2568074_image2_1.JPG,Type3,126.54325,36.52879435,,2.02E+13,010-6512-6112,결성향교,,15
경기도 안산시 단원구 선감로 255,,31,,A03,A0302,A03020200,1896625,32,2.01E+13,,,,126.6421114,37.21513073,6,2.02E+13,032-886-6900,경기도청소년수련원,,15
전북특별자치도 전주시 완산구 어진길 82-6,(경원동2가),37,,B02,B0201,B02011600,2609894,32,2.02E+13,,,,127.1501865,35.81743619,,2.02E+13,010-8835-6698,경기전 연가,,12
울산광역시 동구 녹수7길 58,(전하동),7,,B02,B0201,B02010900,1144607,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/53/2606153_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/2606153_image2_1.JPG,Type3,129.4317771,35.51517839,3,2.02E+13,052-233-2000,경원BIZ모텔[한국관광 품질인증/Korea Quality],,3
인천광역시 연수구 테크노파크로 200,,2,,B02,B0201,B02010100,2475088,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/67/2475067_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2475067_image2_1.jpg,Type3,126.6378264,37.39235731,6,2.02E+13,032-729-1101,경원재 앰배서더 인천,,8
경상북도 경주시 감포읍 감포로10길 40-11,,35,,B02,B0201,B02011600,2570570,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/63/2568463_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2568463_image2_1.jpg,Type3,129.5008737,35.81532648,,2.02E+13,010-7511-2688,경주 감포한옥펜션,,2
경상북도 경주시 천원안길 21-6,(교동),35,,B02,B0201,B02011600,2604602,32,2.02E+13,,,,129.2117819,35.82891946,,2.02E+13,,경주 교동한옥집,,2
