addr1,addr2,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,eventstartdate,eventenddate,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,areacode,sigungucode,tel,title
강원특별자치도 강릉시 연곡면 동덕리,산3,,A02,A0207,A02070200,2863994,15,20221000000000 ,20230901,20230903,http://tong.visitkorea.or.kr/cms/resource/21/2998721_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/21/2998721_image3_1.png,Type3,128.8536284,37.85905542,6,20231100000000 ,32,1,010-7907-9260,강릉 워케이션 페스티벌
강원특별자치도 강릉시 화부산로40번길 46 (교동),,,A02,A0207,A02070200,2940823,15,20230100000000 ,20230926,20231029,http://tong.visitkorea.or.kr/cms/resource/78/3018578_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/3018578_image3_1.JPG,Type3,128.890867,37.76060643,6,20231100000000 ,32,1,031-8039-1411,강릉국제아트페스티벌 (GIAF2023) <서유록>
강원특별자치도 강릉시 경강로 2111 임당시장,,,A02,A0207,A02070200,2930716,15,20221200000000 ,20231027,20231029,http://tong.visitkorea.or.kr/cms/resource/44/3015444_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/44/3015444_image3_1.png,Type3,128.8976276,37.75583211,6,20231000000000 ,32,1,033-650-2154,강릉누들축제
강원특별자치도 강릉시 단오장길 1,,,A02,A0207,A02070200,531391,15,20080400000000 ,20230618,20230625,http://tong.visitkorea.or.kr/cms/resource/61/2983961_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2983961_image3_1.jpg,Type3,128.895017,37.7482135,6,20231100000000 ,32,1,033-641-1593,강릉단오제
강원특별자치도 강릉시 임영로131번길 6 (용강동),,,A02,A0207,A02070200,3019000,15,20231000000000 ,20231014,20231105,http://tong.visitkorea.or.kr/cms/resource/99/3018999_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3018999_image3_1.jpg,Type3,128.8919616,37.75298233,6,20231200000000 ,32,1,033-823-3225,강릉대도호부관아 문화유산 미디어아트
강원특별자치도 강릉시 임영로131번길 6,(용강동),,A02,A0207,A02070200,2541883,15,20180400000000 ,20230708,20230710,http://tong.visitkorea.or.kr/cms/resource/60/2986960_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2986960_image3_1.jpg,Type3,128.8921226,37.75327674,6,20230700000000 ,32,1,033-823-3225,강릉문화재야행
강원특별자치도 강릉시 안현동,안현동 89-36 경포해수욕장 중앙광장,,A02,A0207,A02070200,2607445,15,20190600000000 ,20230630,20230702,http://tong.visitkorea.or.kr/cms/resource/43/2607443_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/2607443_image2_1.JPG,Type3,128.9056587,37.80615978,6,20230600000000 ,32,1,033-640-5130,강릉비치비어페스티벌
강원특별자치도 강릉시 경강로 2111 (임당동),강릉 월화거리,,A02,A0207,A02070200,2926577,15,20221200000000 ,20231102,20231104,http://tong.visitkorea.or.kr/cms/resource/27/3019027_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/3019027_image3_1.jpg,Type3,128.8976276,37.75583211,6,20231000000000 ,32,1,033-647-6802,강릉와인축제
강원특별자치도 강릉시 수리골길 100 강릉스피드스케이팅경기장,"경포 호수 광장, 강릉시 일원",,A02,A0207,A02070100,825295,15,20091000000000 ,20231012,20231015,http://tong.visitkorea.or.kr/cms/resource/83/3020283_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/83/3020283_image3_1.png,Type3,128.900035,37.77894615,6,20231100000000 ,32,1,033-647-6802,강릉커피축제
서울특별시 강북구 인수봉로 159 (수유동),한신대학교 서울캠퍼스,,A02,A0207,A02070200,3014730,15,20230900000000 ,20231007,20231008,http://tong.visitkorea.or.kr/cms/resource/23/3014723_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3014723_image3_1.jpg,Type3,127.013327,37.6339637,6,20231200000000 ,1,3,010-7286-1509,강북 캠퍼스 피크닉
강원특별자치도 춘천시 스포츠타운길399번길 25 KT&G상상마당 춘천아트센터,,,A02,A0207,A02070200,2997769,15,20230800000000 ,20230908,20230909,http://tong.visitkorea.or.kr/cms/resource/67/2997767_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/67/2997767_image3_1.png,Type3,127.7021518,37.87350123,6,20230800000000 ,32,13,1644-4845,강원 콘텐츠 페스타
강원특별자치도 횡성군 우천면 전재로67번길 25,,,A02,A0207,A02070200,3018251,15,20231000000000 ,20231007,20231009,http://tong.visitkorea.or.kr/cms/resource/38/3018238_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/38/3018238_image3_1.jpeg,Type3,128.079558,37.44643281,6,20231200000000 ,32,18,010-2774-6227,강원고려인삼축제
강원특별자치도 고성군 토성면 잼버리로 244,,,A02,A0208,A02080600,2713558,15,20210400000000 ,20230922,20231022,http://tong.visitkorea.or.kr/cms/resource/24/2804924_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2804924_image2_1.jpg,Type1,128.5001657,38.22368397,6,20230700000000 ,32,2,033-818-2158,강원세계산림엑스포
강원특별자치도 인제군 북면 만해로 91,,,A02,A0208,A02081300,2997702,15,20230800000000 ,20230902,20231007,,,,128.3161337,38.18594314,6,20230900000000 ,32,10,033-650-2145,강원음악여행(나랑노랑)
강원특별자치도 평창군 진부면 경강로 3554,,,A02,A0208,A02081300,3011891,15,20230900000000 ,20230921,20231015,http://tong.visitkorea.or.kr/cms/resource/79/3011879_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/3011879_image3_1.jpg,Type3,128.5565177,37.63217315,6,20230900000000 ,32,15,033-240-1373,강원키즈트리엔날레2023
경상남도 함안군 강주4길 16,,,A02,A0207,A02070200,2755016,15,20211000000000 ,20230705,20230716,http://tong.visitkorea.or.kr/cms/resource/91/2844291_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2844291_image3_1.jpg,Type3,128.3322314,35.32086884,6,20230800000000 ,36,19,055-580-4403~4406,강주해바라기 축제
전라남도 강진군 군동면 종합운동장길 60,강진 종합운동장,,A02,A0207,A02070200,3007208,15,20230900000000 ,20230922,20230924,http://tong.visitkorea.or.kr/cms/resource/35/3011135_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3011135_image3_1.jpg,Type3,126.781107,34.64537071,6,20230900000000 ,38,1,061-433-3367,강진 문화의 B.A.M
전라남도 강진군 강진읍 생태공원길 47,,,A02,A0207,A02070200,2435280,15,20161000000000 ,20231013,20231022,http://tong.visitkorea.or.kr/cms/resource/70/3017570_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/3017570_image3_1.JPG,Type3,126.773475,34.62054282,6,20231100000000 ,38,1,061-433-3354,강진만 춤추는 갈대축제
전라남도 강진군 청자촌길 33 청자사업소,,,A02,A0207,A02070100,506378,15,20080300000000 ,20230223,20230301,http://tong.visitkorea.or.kr/cms/resource/91/2643991_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/91/2643991_image2_1.JPG,Type3,126.8009781,34.50788091,6,20231100000000 ,38,1,061-430-3352,강진청자축제
강원특별자치도 춘천시 서면 현암리,875,,A02,A0208,A02081300,3033914,15,20231100000000 ,20231118,20231119,http://tong.visitkorea.or.kr/cms/resource/97/3037097_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/97/3037097_image3_1.png,Type3,127.6909189,37.89375422,6,20231100000000 ,32,13,1644-4894,강콘.zip
인천광역시 강화군 송해면 전망대로423번길 161,양오낚시터,,A02,A0207,A02070200,2643189,15,20200100000000 ,20231223,20240218,http://tong.visitkorea.or.kr/cms/resource/07/3051907_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/3051907_image3_1.jpg,Type3,126.4438578,37.80018419,6,20231200000000 ,2,1,010-4075-5851,강화 양오낚시터 빙어축제
인천광역시 강화군 중앙로787번길 8-1 관리소매점,,,A02,A0207,A02070200,2938676,15,20221200000000 ,20231220,20240225,http://tong.visitkorea.or.kr/cms/resource/75/2938675_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2938675_image3_1.jpg,Type3,126.4312618,37.69895967,6,20231200000000 ,2,1,010-7617-6606,강화도왕방마을얼음축제
인천 강화군 강화읍 관청리 405,인천 강화군 강화읍 관청리 405,,A02,A0207,A02070200,2605336,15,20190600000000 ,20231006,20231007,http://tong.visitkorea.or.kr/cms/resource/77/2681577_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2681577_image2_1.jpg,Type3,126.485511,37.74877981,6,20231100000000 ,2,1,032-930-3515,강화문화재야행
전라남도 여수시 삼호교길 50,,,A02,A0207,A02070200,1340294,15,20110700000000 ,20230812,20230813,,,,127.3099203,34.02449054,6,20230800000000 ,38,13,061-659-4743,거문도백도은빛바다체험행사
경상남도 거제시 옥포로2길 14,,,A02,A0207,A02070200,1327778,15,20110700000000 ,20230616,20230618,http://tong.visitkorea.or.kr/cms/resource/47/2601347_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2601347_image2_1.jpg,Type3,128.6966194,34.89053479,6,20230500000000 ,36,1,055-639-3394,거제 옥포대첩 축제
경상남도 거제시 둔덕면 하둔리,645 둔덕가족생활체육공원 일원,,A02,A0207,A02070200,3003542,15,20230800000000 ,20230909,20230910,http://tong.visitkorea.or.kr/cms/resource/39/3003539_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/3003539_image3_1.jpg,Type3,128.5039349,34.83389599,6,20230800000000 ,36,1,055-639-6611,거제둔덕 포도축제
경상남도 거제시 장승포동 685-3,장승포 수변공원,,A02,A0207,A02070200,2614762,15,20190800000000 ,20230816,20230819,http://tong.visitkorea.or.kr/cms/resource/27/2615527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2615527_image2_1.jpg,Type3,128.7260813,34.86693241,6,20230800000000 ,36,1,051-503-0885,거제맥주축제
경상남도 거제시 거제중앙로17길 6,,,A02,A0208,A02081300,2847463,15,20220900000000 ,20230519,20231126,,,,128.6240397,34.88546738,6,20230800000000 ,36,1,055-633-0533,거제몽돌야시장
경상남도 거제시 거제면 거제남서로 3577,,,A02,A0207,A02070200,1732929,15,20121000000000 ,20231028,20231105,http://tong.visitkorea.or.kr/cms/resource/12/2678112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2678112_image2_1.jpg,Type3,128.5795666,34.85656981,6,20231100000000 ,36,1,055-639-6443,거제섬꽃축제
서울특별시 중구 세종대로 110 서울특별시청,서울시청광장,,A02,A0207,A02070200,2613900,15,20190800000000 ,20230921,20230921,http://tong.visitkorea.or.kr/cms/resource/33/2998333_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/33/2998333_image3_1.png,Type3,126.9777211,37.56625704,6,20230900000000 ,1,24,02-549-6111 (대행사 오렌지런)<br>02-581-1001(서울시약사회),건강서울페스티벌
서울 중구 태평로1가 1,,,A02,A0207,A02070200,2785797,15,20211200000000 ,20231215,20231231,http://tong.visitkorea.or.kr/cms/resource/32/3045532_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3045532_image3_1.jpg,Type3,126.9776155,37.56913171,6,20231100000000 ,1,24,02-904-1159,"겨울, 청계천의 빛"
충청남도 공주시 금벽로 368 (신관동),,,A02,A0207,A02070200,2531702,15,20180100000000 ,20240126,20240128,http://tong.visitkorea.or.kr/cms/resource/19/2936619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2936619_image3_1.jpg,Type3,127.1275545,36.47029179,6,20240100000000 ,34,1,041-840-8093,겨울공주 군밤축제
경기도 양평군 양평읍 물안개공원길 38,,,A02,A0207,A02070200,3049823,15,20231100000000 ,20231201,20240131,http://tong.visitkorea.or.kr/cms/resource/07/3049807_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/07/3049807_image3_1.png,Type3,127.4769332,37.49962938,6,20231100000000 ,31,19,031-770-1071~1073,겨울엔 양평
경기도 수원시 영통구 광교중앙로 140 (하동),,,A02,A0207,A02070200,2508283,15,20170900000000 ,20231007,20231007,http://tong.visitkorea.or.kr/cms/resource/07/3018007_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/3018007_image3_1.jpg,Type3,127.0594632,37.28587992,6,20231000000000 ,31,13,031-120,경기 다독다독 축제
경기도 부천시 길주로 1,,,A02,A0207,A02070200,2927426,15,20221200000000 ,20230914,20230917,http://tong.visitkorea.or.kr/cms/resource/52/2991752_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2991752_image3_1.jpg,Type3,126.7422053,37.50825125,6,20230600000000 ,31,11,032-310-3073,경기국제코스프레페스티벌
경기도 시흥시 은행동,은계호수로 254 은계호수공원 일원,,A02,A0207,A02070200,3011169,15,20230900000000 ,20231007,20231008,http://tong.visitkorea.or.kr/cms/resource/66/3011166_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3011166_image3_1.jpg,Type3,126.8032737,37.44525132,6,20230900000000 ,31,14,070-7769-5731,경기도 세계커피콩 축제
경기도 파주시 탄현면 얼음실로 40,,,A02,A0207,A02070200,3023142,15,20231000000000 ,20231028,20231028,http://tong.visitkorea.or.kr/cms/resource/44/3026244_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/3026244_image3_1.jpg,Type3,126.6985404,37.78524322,6,20231000000000 ,31,27,02-550-2569,경기도 평생학습 대축제(Korea Creative Campus Festival)
경기도 부천시 삼정동,삼작로 53 부천아트벙커 B39,,A02,A0207,A02070200,2758007,15,20211000000000 ,20231027,20231027,http://tong.visitkorea.or.kr/cms/resource/44/3021944_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/44/3021944_image3_1.png,Type3,126.7673915,37.52146683,6,20231000000000 ,31,11,경기마을미디어축제 운영사무국(02-561-3125),경기마을미디어축제
경기도 수원시 팔달구 창룡대로 64 (남수동),,,A02,A0208,A02081100,3011923,15,20230900000000 ,20230922,20231001,http://tong.visitkorea.or.kr/cms/resource/20/3011920_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/3011920_image3_1.jpg,Type3,127.0222583,37.28414335,6,20230900000000 ,31,13,02-831-6269,경기필름스쿨페스티벌 2023
경상남도 창원시 성산구 원이대로 362 (대원동),창원컨벤션센터 3전시장,,A02,A0207,A02070200,3028995,15,20231000000000 ,20231126,20231127,http://tong.visitkorea.or.kr/cms/resource/94/3028994_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3028994_image3_1.jpg,Type3,128.6578551,35.2382868,6,20231100000000 ,36,16,055-230-8813,경남 콘텐츠 페어 GNCF
경상남도 고성군 당항만로 1116,당항포관광지,,A02,A0207,A02070200,141105,15,20060400000000 ,20230922,20231029,http://tong.visitkorea.or.kr/cms/resource/62/2987562_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/62/2987562_image3_1.png,Type3,128.3915389,35.05334718,6,20230900000000 ,36,3,055-670-3814,경남고성공룡세계엑스포
서울특별시 종로구 사직로 161,,,A02,A0207,A02070200,2648460,15,20200200000000 ,20230908,20231008,http://tong.visitkorea.or.kr/cms/resource/36/2999736_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2999736_image3_1.jpg,Type3,126.9770319,37.57889445,6,20230800000000 ,1,23,1522-2295,경복궁 별빛야행
서울특별시 종로구 사직로 161 경복궁,,,A02,A0207,A02070200,2615461,15,20190800000000 ,20230420,20230628,http://tong.visitkorea.or.kr/cms/resource/99/2962999_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2962999_image3_1.jpg,Type3,126.9770319,37.57889445,6,20230500000000 ,1,23,1522-2295,경복궁 생과방
경상북도 영주시 풍기읍 성내리,240-1 풍기읍 남원천 일원,,A02,A0207,A02070100,506766,15,20080300000000 ,20231007,20231015,http://tong.visitkorea.or.kr/cms/resource/44/1723644_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/1723644_image3_1.jpg,Type3,128.5216074,36.86871872,6,20231200000000 ,35,14,054-635-0020,경북영주 풍기인삼축제
경상북도 경산시 남매로 100 경산생활체육공원,,,A02,A0207,A02070200,2759249,15,20211000000000 ,20231014,20231015,http://tong.visitkorea.or.kr/cms/resource/20/3013320_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/20/3013320_image3_1.JPG,Type3,128.743401,35.81991728,6,20230900000000 ,35,1,053-811-2538,경산대추축제 & 농산물한마당
경상북도 구미시 남통동,285-1,,A02,A0208,A02081100,3091848,15,20240100000000 ,20240615,20240616,http://tong.visitkorea.or.kr/cms/resource/72/3091772_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3091772_image3_1.jpg,Type3,128.3131226,36.11094579,6,20240100000000 ,35,4,054-781-9990,경상북도 국제 AI·메타버스영화제
경상북도 포항시 북구 두호동,685-1,,A02,A0208,A02080600,3020633,15,20231000000000 ,20231021,20231022,http://tong.visitkorea.or.kr/cms/resource/32/3020632_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/32/3020632_image3_1.png,Type3,129.3820297,36.06244353,6,20231000000000 ,35,23,053-944-4002,경상북도 마을기업 가치경제 박람회
서울특별시 중구 을지로 지하12 (을지로1가),,,A02,A0207,A02070200,2622167,15,20191000000000 ,20231106,20231108,http://tong.visitkorea.or.kr/cms/resource/08/3026008_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/08/3026008_image3_1.png,Type3,126.978796,37.56550159,6,20231000000000 ,1,24,대구경북능금농협 053-740-3033 <br>경상북도 친환경농업과 054-880-3373,경상북도사과홍보행사
경상북도 경주시 계림로 10,,,A02,A0207,A02070200,2485128,15,20170300000000 ,20230331,20230402,http://tong.visitkorea.or.kr/cms/resource/25/2951525_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2951525_image3_1.jpg,Type3,129.2157897,35.83596874,6,20230400000000 ,35,2,054-777-5951~3,경주벚꽃축제
경상북도 경주시 보문로 507,경주화백컨벤션센터(HICO) 1층 야외광장,,A02,A0207,A02070200,2990173,15,20230600000000 ,20230616,20230618,http://tong.visitkorea.or.kr/cms/resource/68/2990168_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2990168_image3_1.jpg,Type3,129.2879694,35.83846705,6,20230600000000 ,35,2,054-702-1063,경주술술페스티벌
강원특별자치도 강릉시 강문동,257-6 강릉 경포해수욕장,,A02,A0207,A02070200,2394558,15,20160700000000 ,20230730,20230806,http://tong.visitkorea.or.kr/cms/resource/48/2394548_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/48/2394548_image2_1.JPG,Type3,128.9114222,37.80204926,6,20230700000000 ,32,1,033-650-2145,경포 썸머 페스티벌
충청남도 계룡시 금암동,,,A02,A0207,A02070200,2992940,15,20230700000000 ,20231006,20231010,http://tong.visitkorea.or.kr/cms/resource/35/2992935_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2992935_image3_1.jpg,Type3,127.2371547,36.30680133,6,20231100000000 ,34,16,042-840-2621~4,계룡軍문화축제
인천광역시 계양구 계양산로 101,계양산성 일원,,A02,A0207,A02070200,2989468,15,20230500000000 ,20230603,20230603,http://tong.visitkorea.or.kr/cms/resource/76/2989476_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2989476_image3_1.jpg,Type3,126.7270445,37.54807135,6,20230500000000 ,2,2,032-450-5754,계양산성 소서팔사(消暑八事) : 계양골 바캉스
강원특별자치도 평창군 방림면 계촌리,,,A02,A0207,A02070200,2394665,15,20160700000000 ,20230526,20230528,,,,128.3034237,37.45215303,6,20230700000000 ,32,15,010-2814-1055,계촌 클래식 축제
강원특별자치도 원주시 호저면 호저로 1277-43,양잠테마단지 내,,A02,A0207,A02070200,2517217,15,20171100000000 ,20231125,20240212,http://tong.visitkorea.or.kr/cms/resource/50/3026350_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/3026350_image3_1.jpg,Type3,127.9154662,37.48002308,6,20231100000000 ,32,9,033-766-0207,고니골빛축제
경상북도 고령군 대가야로 1216 대가야역사테마관광지,,,A02,A0207,A02070100,2667017,15,20200800000000 ,20240329,20240331,http://tong.visitkorea.or.kr/cms/resource/27/2986827_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/27/2986827_image3_1.png,Type3,128.2599602,35.72125291,6,20240100000000 ,35,3,054-950-6424,고령대가야축제
강원특별자치도 고성군 거진읍 해오름해변길 125,,,A02,A0207,A02070200,421977,15,20080100000000 ,20231026,20231029,http://tong.visitkorea.or.kr/cms/resource/97/2621897_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2621897_image2_1.jpg,Type3,128.4541909,38.43980232,6,20231000000000 ,32,2,033-682-8008,고성통일명태축제
광주광역시 남구 고싸움로 2,(칠석동),,A02,A0207,A02070200,292950,15,20060200000000 ,20230203,20230205,http://tong.visitkorea.or.kr/cms/resource/97/1558697_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/1558697_image3_1.jpg,Type3,126.8371306,35.06962946,6,20230700000000 ,5,2,062-374-3839,고싸움놀이축제
경기도 고양시 일산동구 중앙로 1271-4 (장항동),일산문화광장,,A02,A0207,A02070200,3025858,15,20231000000000 ,20231028,20231029,http://tong.visitkorea.or.kr/cms/resource/23/3025823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3025823_image3_1.jpg,Type3,126.7700763,37.65798155,6,20231000000000 ,31,2,031-8075-4602,고양 동물교감치유 문화제
경기도 고양시 일산동구 호수로 595,고양꽃전시관,,A02,A0207,A02070200,1725993,15,20120900000000 ,20230927,20231009,http://tong.visitkorea.or.kr/cms/resource/77/3010577_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/77/3010577_image3_1.JPG,Type3,126.7686655,37.65387922,6,20230900000000 ,31,2,031-908-7750,고양가을꽃축제
경기도 고양시 일산동구 호수로 595,,,A02,A0207,A02070200,141799,15,20070400000000 ,20230427,20230508,http://tong.visitkorea.or.kr/cms/resource/65/2952965_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2952965_image3_1.jpg,Type3,126.7686849,37.65397366,6,20230600000000 ,31,2,031-908-7750,고양국제꽃박람회
경기도 고양시 일산동구 중앙로 1271-1,(장항동),,A02,A0208,A02081300,2702939,15,20210100000000 ,20221213,20230131,http://tong.visitkorea.or.kr/cms/resource/12/2799912_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2799912_image2_1.jpg,Type3,126.7727122,37.65953975,6,20231100000000 ,31,2,031-8075-3003,고양시 트리니팅 프로젝트
경기도 고양시 덕양구 고양대로 1695 (원흥동),고양특례시 농업기술센터,,A02,A0207,A02070200,3021283,15,20231000000000 ,20231028,20231028,http://tong.visitkorea.or.kr/cms/resource/12/3021912_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/3021912_image3_1.jpg,Type3,126.8701008,37.64983428,6,20231000000000 ,31,2,축산종합지원센터 축산컨설팅팀 031-969-6488,고양축산페스티벌
경기도 고양시 덕양구 행주로15번길 89,,,A02,A0207,A02070200,530450,15,20080400000000 ,20230519,20230521,http://tong.visitkorea.or.kr/cms/resource/21/2975121_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2975121_image3_1.jpg,Type3,126.8246035,37.60048088,6,20230600000000 ,31,2,1577-7766,고양행주문화제
경기도 고양시 일산동구 호수로 595,,,A02,A0207,A02070200,1100492,15,20100900000000 ,20231006,20231009,http://tong.visitkorea.or.kr/cms/resource/78/2986478_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/2986478_image3_1.JPG,Type3,126.7686655,37.65387922,6,20231100000000 ,31,2,1588-7766,고양호수예술축제
